Id,Name,Xp,Status,Chapter
1,Knowledge Check - C#,25,NotStarted,1
2,Install Visual Studio,75,NotStarted,1
3,"Hello, World!",50,NotStarted,1
4,What Comes Next,50,NotStarted,1
5,The Makings of a Programmer,50,NotStarted,1
6,Consolas and Telim,50,NotStarted,1
7,The Thing Namer 3000,100,NotStarted,1
8,Knowledge Check - Variables,25,NotStarted,1
9,The Variable Shop,100,NotStarted,1
10,The Variable Shop Returns,50,NotStarted,1
11,Knowledge Check - Type System,25,NotStarted,1
12,The Triangle Farmer,100,NotStarted,1
13,The Four Sisters and the Duckbear,100,NotStarted,1
14,The Dominion of Kings,100,NotStarted,1
15,The Defense of Consolas,200,NotStarted,1
16,Repairing the Clocktower,100,NotStarted,1
17,Watchtower,100,NotStarted,1
18,Buying Inventory,100,NotStarted,1
19,Discounted Inventory,50,NotStarted,1
20,The Prototype,100,NotStarted,1
21,The Magic Cannon,100,NotStarted,1
22,The Replicator of D' To,100,NotStarted,1
23,The Laws of Freach,50,NotStarted,1
24,Taking a Number,100,NotStarted,1
25,Countdown,100,NotStarted,1
26,Knowledge Check - Memory,25,NotStarted,1
27,Hunting the Manticore,250,NotStarted,1
