Id,Name,Xp,Status,Chapter
28,Knowledge Check - Objects,25,NotStarted,2
29,Simula's Test,100,NotStarted,2
30,Simula's Soups,100,NotStarted,2
31,Vin Fletcher's Arrows,100,NotStarted,2
32,Vin's Trouble,50,NotStarted,2
33,The Properties of Arrows,100,NotStarted,2
34,Arrow Factories,100,NotStarted,2
35,The Point,75,NotStarted,2
36,The Color,100,NotStarted,2
37,The Card,100,NotStarted,2
38,The Locked Door,100,NotStarted,2
39,The Password Validator,100,NotStarted,2
40,Rock-Paper-Scissors,150,NotStarted,2
41,15-Puzzle,150,NotStarted,2
42,Hangman,150,NotStarted,2
43,Tic-Tac-Toe,300,NotStarted,2
44,Packing Inventory,150,NotStarted,2
45,Labeling Inventory,50,NotStarted,2
46,The Old Robot,200,NotStarted,2
47,Robotic Interface,75,NotStarted,2
48,Room Coordinates,50,NotStarted,2
49,War Preparations,100,NotStarted,2
50,Colored Items,100,NotStarted,2
51,The Fountain of Objects,500,NotStarted,2
52,"Small, Medium, or Large",100,NotStarted,2
53,Pits,100,NotStarted,2
54,Maelstroms,100,NotStarted,2
55,Amaroks,100,NotStarted,2
56,Getting Armed,100,NotStarted,2
57,Getting Help,100,NotStarted,2
58,The Robot Pilot,50,NotStarted,2
59,Time in the Cavern,50,NotStarted,2
60,Lists of Commands,75,NotStarted,2
