Id,Name,Xp,Status,Chapter
61,Knowledge Check - Large Programs,25,NotStarted,3
62,The Feud,75,NotStarted,3
63,Dueling Traditions,100,NotStarted,3
64,Safer Number Crunching,50,NotStarted,3
65,Knowledge Check - Methods,25,NotStarted,3
66,Better Random,100,NotStarted,3
67,Exepti's Game,100,NotStarted,3
68,The Sieve,100,NotStarted,3
69,Knowledge Check - Events,25,NotStarted,3
70,Charberry Trees,100,NotStarted,3
71,Knowledge Check - Lambdas,25,NotStarted,3
72,The Lambda Sieve,50,NotStarted,3
73,The Long Game,100,NotStarted,3
74,The Potion Masters of Pattren,150,NotStarted,3
75,Knowledge Check - Operators,25,NotStarted,3
76,Navigating Operand City,100,NotStarted,3
77,Indexing Operand City,75,NotStarted,3
78,Converting Directions to Offsets,50,NotStarted,3
79,Knowledge Check - Queries,25,NotStarted,3
80,The Three Lenses,100,NotStarted,3
81,The Repeating Stream,150,NotStarted,3
82,Knowledge Check - Async,25,NotStarted,3
83,Asynchronous Random Words,150,NotStarted,3
84,Many Random Words,50,NotStarted,3
85,Uniter of Adds,75,NotStarted,3
86,The Robot Factory,100,NotStarted,3
87,Knowledge Check - Unsafe Code,25,NotStarted,3
88,Knowledge Check - Other Features,25,NotStarted,3
89,Colored Console,100,NotStarted,3
90,The Great Humanizer,100,NotStarted,3
91,Knowledge Check - Compiling,25,NotStarted,3
92,Knowledge Check - .NET,25,NotStarted,3
93,Altar of Publication,100,NotStarted,3
