Id,Name,Xp,Status,Chapter
94,Core Game: Building Character,300,NotStarted,4
95,Core Game: The True Programmer,100,NotStarted,4
96,Core Game: Actions and Players,300,NotStarted,4
97,Core Game: Attacks,200,NotStarted,4
98,Core Game: Damage and HP,150,NotStarted,4
99,Core Game: Death,150,NotStarted,4
100,Core Game: Battle Series,150,NotStarted,4
101,Core Game: The Uncoded One,100,NotStarted,4
102,Core Game: The Player Decides,200,NotStarted,4
103,Expansion: The Game's Status,100,NotStarted,4
104,Expansion: Items,200,NotStarted,4
105,Expansion: Gear,300,NotStarted,4
106,Expansion: Stolen Inventory,200,NotStarted,4
107,Expansion: Vin Fletcher,200,NotStarted,4
108,Expansion: Attack Modifiers,200,NotStarted,4
109,Expansion: Damage Types,200,NotStarted,4
110,Expansion: Making it Yours,0,NotStarted,4
111,Expansion: Restoring Balance,150,NotStarted,4
